Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Gardas1                 Gavarde1                      8         5         8         3         3         7         3        10         2         3         7         5         6         3         5         3
Fardas2                 Favarde2                      6         6         5         5         1         8         4         3         3         8         5         4         5         5         5         7
Rardas3                 Ravarde3                      8         3         2         7         7         9         5        10         9         9        10         4         3         3         8         5
Vardas4                 Vavarde4                      7         9         8         9         6         8         8         8         3         9         5         2         5         5         5         1
Aardas5                 Aavarde5                      7         4         6         5         8         2         1         2         8         9         1         6         5         5         2         9
Bardas6                 Bavarde6                     10         4        10        10         2         3        10         7         8         5         3         9         5         1         5         2
Lardas7                 Lavarde7                      8         4         5         2         8         9         2         3         8        10         8         7         3         5         9         9
Uardas8                 Uavarde8                      3         5         2         1         3         8         3         6         7        10         9         8         9         8         4         1
Oardas9                 Oavarde9                      5         4         9         5         2         5         3         6         9         7        10         9        10         9         8         7
Sardas10               Savarde10                      9         2         6         5         7         1         2         1         6         2         5         1         1         9        10         4
Hardas11               Havarde11                      1         9         8         5         9        10         4         1         9         1         1        10         4         4         4         3
Wardas12               Wavarde12                      7         1         4         8         6         7         6         8         7         2        10         6         2         7         3        10
Rardas13               Ravarde13                      3         2         3         2         7         9         3         6         4         2         3         2        10         8         5         7
Tardas14               Tavarde14                      5         9         5         9         3         1         1         6         1         2         1         4         9         9         6         1
