Vardas              Pavarde             Galutinis(vid)      Galutinis(med)      
---------------     ---------------     ---------------     ---------------     
Aardas5             Aavarde5            7.29                7.40                
Bardas6             Bavarde6            3.65                3.20                
Fardas2             Favarde2            6.15                6.20                
Gardas1             Gavarde1            3.88                3.80                
Hardas11            Havarde11           3.93                3.40                
Lardas7             Lavarde7            7.83                8.20                
Oardas9             Oavarde9            6.89                7.00                
Rardas13            Ravarde13           6.04                5.40                
Rardas3             Ravarde3            5.59                5.80                
Sardas10            Savarde10           4.19                4.40                
Tardas14            Tavarde14           2.49                2.60                
Uardas8             Uavarde8            2.89                3.00                
Vardas4             Vavarde4            3.19                3.40                
Wardas12            Wavarde12           8.24                8.40                
